Dr. Ricky VonRueden                     Flat 701, 2 Great Northern Retail Park, Belfast, Northern Ireland, BT14 3FD                         Happy Birthday, Dr. Ricky VonRueden
Richard Kohler                          6 Newtown Centre, Stockport, England, SK3 0XG                                                       Happy Birthday, Richard Kohler
Colin Mohr                              5 Alford Crossways, Ilford, England, E18 9QZ                                                        Happy Birthday, Colin Mohr
Krystal Marvin                          8 Donegall Place, Sancreed, England, TR19 1ZQ                                                       Happy Birthday, Krystal Marvin
Dixie Yost                              5 Flinders Close, Harleston, England, IP20 2SA                                                      Happy Birthday, Dixie Yost
Mrs. Tracy Shields                      91 Wheatbridge Road, Reading, England, RG1 8UZ                                                      Happy Birthday, Mrs. Tracy Shields
Verna Anderson                          6 Warner Drive, Manchester, England, M18 5EQ                                                        Happy Birthday, Verna Anderson
Teresa Skiles                           43 Bury Green Lane, Chawleigh, England, EX18 0DG                                                    Happy Birthday, Teresa Skiles
Roger Skiles                            96 Dundas Spur, Caerphilly, Wales, CF83 6GA                                                         Happy Birthday, Roger Skiles
Brett Mohr                              Flat 7, 16 Bluestem Road, Manchester, England, M14 2BT                                              Happy Birthday, Brett Mohr
Robin Schumm                            Flat 2, 64 Freeport Hornsea, Belfast, Northern Ireland, BT9 9WY                                     Happy Birthday, Robin Schumm
Emanuel Oberbrunner                     Flat 4, 610 Burghley Centre, Redruth, England, TR16 7FF                                             Happy Birthday, Emanuel Oberbrunner
Muriel Ryan                             Flat 36, 58 Hanwell Fields, Eye, England, IP23 2NJ                                                  Happy Birthday, Muriel Ryan
Shelley Runolfsson                      Flat 36, 5 Sowton Industrial Estate, South Tyneside, England, NE35 8HS                              Happy Birthday, Shelley Runolfsson
Darryl Zieme                            76 Riverside Retail And Leisure, North Sunderland, England, NE68 1TR                                Happy Birthday, Darryl Zieme
Tina Kuhlman                            22 Thamesdown Park, Milltimber, Scotland, AB13 9AY                                                  Happy Birthday, Tina Kuhlman
Jonathan Huel                           8 Stewart Road, Sproughton, England, IP8 7BA                                                        Happy Birthday, Jonathan Huel
Dr. Wallace Pacocha                     Flat 56, 86 All Hallows Road, Cheltenham, England, GL51 5FP                                         Happy Birthday, Dr. Wallace Pacocha
Aaron Koelpin                           40 Great Bowden Road, County Fermanagh, Northern Ireland, BT94 3WD                                  Happy Birthday, Aaron Koelpin
Mr. Ruby Herzog                         2 The Walk, Stockport, England, SK6 0BN                                                             Happy Birthday, Mr. Ruby Herzog
Andy Heaney                             Flat 3, 4 Chalfont House, Brentwood, England, CM15 1XR                                              Happy Birthday, Andy Heaney
Bennie O'Connell                        Flat 3, 6 Medina Trade Park, Southampton, England, SO16 6YJ                                         Happy Birthday, Bennie O'Connell
Gabriel Cremin I                        Flat 4, 9 St Werburghs Cloisters, Rayleigh, England, SS6 0YT                                        Happy Birthday, Gabriel Cremin I
Steven Schuppe                          534 Holliers Walk, Rotherham, England, S60 1YS                                                      Happy Birthday, Steven Schuppe
Ron Schmitt                             7 Dunyfell Road, Street, England, BA16 3PQ                                                          Happy Birthday, Ron Schmitt
Claudia Gibson                          3 Canonbury Lane, Northampton, England, NN1 8PN                                                     Happy Birthday, Claudia Gibson
